trip_id,estado,desplazamiento_m,rumbo_real,desv_publicado,desv_siguiente,desv_tramo
1056M21106C10,IN_TRANSIT_TO,186,150.5,174.4,10.6,10.3
1056M20720C5,IN_TRANSIT_TO,230,54.9,156.1,10.6,11.7
1056M20604C8b,IN_TRANSIT_TO,638,142.7,178.4,28.0,22.6
1056M19549C5,STOPPED_AT,1030,358.1,48.9,4.3,4.2
1056M21811C7,STOPPED_AT,525,314.5,85.4,12.3,12.1
1056M19553C5,IN_TRANSIT_TO,1189,87.8,180.0,1.1,0.7
1056M19541C5,IN_TRANSIT_TO,848,280.6,177.1,27.7,20.6
1056M19543C5,IN_TRANSIT_TO,645,271.1,177.2,24.9,12.2
1056M21509C2,IN_TRANSIT_TO,1121,226.2,178.6,5.2,4.1
1056M20013C3,IN_TRANSIT_TO,795,8.5,179.5,40.2,23.3
1056M20012C3,IN_TRANSIT_TO,1889,187.3,171.5,64.5,40.0
1056M20416C4b,IN_TRANSIT_TO,1904,65.0,178.5,85.1,70.0
1056M21307C10,STOPPED_AT,1244,85.1,93.3,33.0,32.9
1056M21306C10,STOPPED_AT,1303,294.8,83.7,16.3,16.3
1056M20414C4b,STOPPED_AT,2048,325.2,101.1,179.4,179.9
1056M19529C5,INCOMING_AT,1288,290.2,51.7,,10.7
1056M19534C5,IN_TRANSIT_TO,1113,248.9,3.9,174.6,175.5
1056M20222C4a,IN_TRANSIT_TO,152,187.4,167.1,8.7,8.9
1056M20221C4a,STOPPED_AT,879,20.1,101.9,11.7,11.5
1056M20406C4b,IN_TRANSIT_TO,455,200.1,179.1,1.3,1.2
1056M20220C4a,IN_TRANSIT_TO,1071,130.0,179.4,53.7,45.5
1056M19539C5,INCOMING_AT,1011,255.3,179.6,84.0,2.0
1056M21003C8a,IN_TRANSIT_TO,1157,331.4,179.0,43.3,35.4
1056M19520C5,STOPPED_AT,1572,224.5,86.7,15.0,14.5
