nucleo,line_id,origen_nombre,destino_nombre,llegada_teorica_utc,consultado_en_utc,horizonte_min,regime,degradado,retraso_predicho_s,retraso_real_s,error_retraso_s,llegada_estimada_utc,llegada_real_utc,error_llegada_s,via,estado
75348C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T16:37:00Z,2026-09-13T15:58:23Z,38.6,A,,285.6,1140.0,-854.4,2026-09-13T16:41:45Z,2026-09-13T16:56:00Z,-855.0,parada,ok
75348C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T16:37:00Z,2026-09-13T15:59:43Z,37.3,A,,304.1,1140.0,-835.9,2026-09-13T16:42:04Z,2026-09-13T16:56:00Z,-836.0,parada,ok
75248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T16:51:00Z,2026-09-13T15:58:23Z,52.6,B,,336.4,660.0,-323.6,2026-09-13T16:56:36Z,2026-09-13T17:02:00Z,-324.0,parada,ok
75248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T16:51:00Z,2026-09-13T15:59:43Z,51.3,B,,336.1,660.0,-323.9,2026-09-13T16:56:36Z,2026-09-13T17:02:00Z,-324.0,parada,ok
75248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T16:51:00Z,2026-09-13T16:03:03Z,48.0,A,,163.7,660.0,-496.3,2026-09-13T16:53:43Z,2026-09-13T17:02:00Z,-497.0,parada,ok
75152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-13T16:55:00Z,2026-09-13T15:58:23Z,56.6,B,,320.1,60.0,260.1,2026-09-13T17:00:20Z,2026-09-13T16:56:00Z,260.0,parada,ok
75152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-13T16:55:00Z,2026-09-13T15:59:43Z,55.3,B,,318.0,60.0,258.0,2026-09-13T17:00:18Z,2026-09-13T16:56:00Z,258.0,parada,ok
75152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-13T16:55:00Z,2026-09-13T16:03:03Z,52.0,B,,313.4,60.0,253.4,2026-09-13T17:00:13Z,2026-09-13T16:56:00Z,253.0,parada,ok
75350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:07:00Z,2026-09-13T15:58:23Z,68.6,B,,351.5,2880.0,-2528.5,2026-09-13T17:12:51Z,2026-09-13T17:55:00Z,-2529.0,delay_tren,ok
75350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:07:00Z,2026-09-13T15:59:43Z,67.3,B,,368.0,2880.0,-2512.0,2026-09-13T17:13:08Z,2026-09-13T17:55:00Z,-2512.0,delay_tren,ok
75350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:07:00Z,2026-09-13T16:03:03Z,64.0,B,,367.3,2880.0,-2512.7,2026-09-13T17:13:07Z,2026-09-13T17:55:00Z,-2513.0,delay_tren,ok
75350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:07:00Z,2026-09-13T16:23:04Z,43.9,A,,209.0,2880.0,-2671.0,2026-09-13T17:10:29Z,2026-09-13T17:55:00Z,-2671.0,delay_tren,ok
27067C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-13T17:09:00Z,2026-09-13T15:58:23Z,70.6,B,,60.5,180.0,-119.5,2026-09-13T17:10:00Z,2026-09-13T17:12:00Z,-120.0,parada,ok
27067C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-13T17:09:00Z,2026-09-13T15:59:43Z,69.3,B,,80.0,180.0,-100.0,2026-09-13T17:10:20Z,2026-09-13T17:12:00Z,-100.0,parada,ok
27067C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-13T17:09:00Z,2026-09-13T16:03:03Z,66.0,B,,60.1,180.0,-119.9,2026-09-13T17:10:00Z,2026-09-13T17:12:00Z,-120.0,parada,ok
27284C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-13T17:15:00Z,2026-09-13T15:58:23Z,76.6,B,,224.4,180.0,44.4,2026-09-13T17:18:44Z,2026-09-13T17:18:00Z,44.0,parada,ok
27284C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-13T17:15:00Z,2026-09-13T15:59:43Z,75.3,B,,248.5,180.0,68.5,2026-09-13T17:19:08Z,2026-09-13T17:18:00Z,68.0,parada,ok
27284C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-13T17:15:00Z,2026-09-13T16:03:03Z,72.0,B,,253.7,180.0,73.7,2026-09-13T17:19:13Z,2026-09-13T17:18:00Z,73.0,parada,ok
75250C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:21:00Z,2026-09-13T15:58:23Z,82.6,B,,327.0,480.0,-153.0,2026-09-13T17:26:27Z,2026-09-13T17:29:00Z,-153.0,parada,ok
75250C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:21:00Z,2026-09-13T15:59:43Z,81.3,B,,347.2,480.0,-132.8,2026-09-13T17:26:47Z,2026-09-13T17:29:00Z,-133.0,parada,ok
75250C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-13T17:21:00Z,2026-09-13T16:03:03Z,78.0,B,,323.9,480.0,-156.1,2026-09-13T17:26:23Z,2026-09-13T17:29:00Z,-157.0,parada,ok
