nucleo,line_id,origen_nombre,destino_nombre,llegada_teorica_utc,consultado_en_utc,horizonte_min,regime,degradado,retraso_predicho_s,retraso_real_s,error_retraso_s,llegada_estimada_utc,llegada_real_utc,error_llegada_s,via,estado
21246C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:21:00Z,2026-09-15T15:42:31Z,38.5,A,,287.6,420.0,-132.4,2026-09-15T16:25:47Z,2026-09-15T16:28:00Z,-133.0,parada,ok
20079C3,C3,Aranjuez,Madrid-Chamartín-Clara Campoamor,2026-09-15T16:41:00Z,2026-09-15T15:42:31Z,58.5,B,,206.5,360.0,-153.5,2026-09-15T16:44:26Z,2026-09-15T16:47:00Z,-154.0,parada,ok
21350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:42:00Z,2026-09-15T15:42:31Z,59.5,B,,420.3,720.0,-299.7,2026-09-15T16:49:00Z,2026-09-15T16:54:00Z,-300.0,parada,ok
21350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:42:00Z,2026-09-15T15:47:37Z,54.4,B,,401.2,720.0,-318.8,2026-09-15T16:48:41Z,2026-09-15T16:54:00Z,-319.0,parada,ok
21350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:42:00Z,2026-09-15T15:52:37Z,49.4,B,,401.0,720.0,-319.0,2026-09-15T16:48:41Z,2026-09-15T16:54:00Z,-319.0,parada,ok
21350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:42:00Z,2026-09-15T15:57:38Z,44.4,A,,273.0,720.0,-447.0,2026-09-15T16:46:33Z,2026-09-15T16:54:00Z,-447.0,parada,ok
21350C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:42:00Z,2026-09-15T16:02:38Z,39.4,A,,307.3,720.0,-412.7,2026-09-15T16:47:07Z,2026-09-15T16:54:00Z,-413.0,parada,ok
20300C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T16:49:00Z,2026-09-15T15:42:31Z,66.5,B,,370.2,60.0,310.2,2026-09-15T16:55:10Z,2026-09-15T16:50:00Z,310.0,parada,ok
20300C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T16:49:00Z,2026-09-15T15:47:37Z,61.4,B,,359.5,60.0,299.5,2026-09-15T16:54:59Z,2026-09-15T16:50:00Z,299.0,parada,ok
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T15:42:31Z,67.5,B,,321.4,1020.0,-698.6,2026-09-15T16:55:21Z,2026-09-15T17:07:00Z,-699.0,parada,ok
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T15:47:37Z,62.4,B,,312.9,1020.0,-707.1,2026-09-15T16:55:12Z,2026-09-15T17:07:00Z,-708.0,parada,ok
